ID,Event,Year,Season,Medal,Age
1795,Wrestling Mens Lightweight Freestyle,1996,Summer,,27
1796,Fencing Mens Foil Individual,1976,Summer,,
1796,Fencing Mens Foil Team,1976,Summer,,
1797,Shooting Mens Trap,2012,Summer,,39
1798,Shooting Mens Rapid-Fire Pistol 25 metres,1984,Summer,,
1799,Swimming Mens 200 metres Butterfly,2012,Summer,,18
1800,Shooting Mens Trap,2004,Summer,,34
1801,Swimming Mens 100 metres Freestyle,1992,Summer,,21
1801,Swimming Mens 100 metres Backstroke,1992,Summer,,21
1801,Swimming Mens 100 metres Butterfly,1992,Summer,,21
1802,Swimming Mens 100 metres Freestyle,1984,Summer,,20
1803,Athletics Mens 400 metres,1976,Summer,,24
1803,Athletics Mens 4 x 400 metres Relay,1976,Summer,,24
1804,Athletics Mens 200 metres,1996,Summer,,20
1805,Judo Mens Lightweight,1976,Summer,,17
1806,Shooting Mens Double Trap,2004,Summer,,23
1806,Shooting Mens Trap,2012,Summer,,31
1806,Shooting Mens Double Trap,2012,Summer,,31
1807,Swimming Womens 50 metres Freestyle,2016,Summer,,22
1808,Football Mens Football,1992,Summer,,19
1809,Shooting Mens Skeet,1996,Summer,,25
1809,Shooting Mens Skeet,2000,Summer,,29
1809,Shooting Mens Skeet,2004,Summer,,33
1809,Shooting Mens Skeet,2008,Summer,,37
1809,Shooting Mens Skeet,2012,Summer,Bronze,41
1809,Shooting Mens Skeet,2016,Summer,,45
1810,Equestrianism Mixed Jumping Individual,2016,Summer,,21
1810,Equestrianism Mixed Jumping Team,2016,Summer,,21
1811,Athletics Mens 100 metres,1976,Summer,,22
1811,Athletics Mens 4 x 100 metres Relay,1976,Summer,,22
1812,Fencing Mens Foil Individual,1980,Summer,,15
1812,Fencing Mens Foil Team,1980,Summer,,15
1812,Fencing Mens Foil Individual,1984,Summer,,19
1812,Fencing Mens Foil Team,1984,Summer,,19
1812,Fencing Mens Foil Individual,1988,Summer,,24
1812,Fencing Mens Foil Team,1988,Summer,,24
1813,Shooting Mens Small-Bore Rifle Prone 50 metres,1984,Summer,,27
1814,Volleyball Mens Volleyball,2008,Summer,,36
1815,Weightlifting Mens Flyweight,1988,Summer,,15
1815,Weightlifting Mens Light-Heavyweight,2000,Summer,,27
1816,Weightlifting Mens Lightweight,1988,Summer,,17
1817,Athletics Mens 800 metres,2004,Summer,,22
1817,Athletics Mens 800 metres,2008,Summer,,26
1817,Athletics Mens 800 metres,2012,Summer,,30
1818,Athletics Mens 4 x 400 metres Relay,2000,Summer,,31
1819,Athletics Mens 4 x 100 metres Relay,1972,Summer,,17
1819,Athletics Mens Long Jump,1972,Summer,,17
1820,Swimming Mens 100 metres Butterfly,2012,Summer,,15
1821,Weightlifting Mens Lightweight,2004,Summer,,28
1822,Weightlifting Mens Lightweight,2004,Summer,,21
1823,Fencing Mens Sabre Individual,1992,Summer,,20
1824,Wrestling Mens Welterweight Greco-Roman,1988,Summer,,21
1825,Athletics Mens 800 metres,2004,Summer,,17
